timestamp,msg_name,payload,ack,msg_type,uniq_id
13:35:47.527441,MSG_PRESSURE_GET_AIR_REL_PA_VAL,0.0,5,65,0000
13:35:47.528438,MSG_PRESSURE_GET_LC1_ACT_RAW_VAL,57381,5,65,0000
13:35:47.529435,MSG_PRESSURE_GET_LC2_ACT_RAW_VAL,60682,5,65,0000
13:35:47.530434,MSG_PRESSURE_GET_LC1_REL_RAW_VAL,0,5,65,0000
13:35:47.542401,MSG_PRESSURE_GET_LC2_REL_RAW_VAL,0,5,65,0000
13:35:47.543398,MSG_PRESSURE_GET_LC1_REL_PA_VAL,0.0,5,65,0000
13:35:47.544395,MSG_PRESSURE_GET_LC2_REL_PA_VAL,0.0,5,65,0000
13:35:47.785394,MSG_PRESSURE_GET_AIR_ACT_PA_VAL,0.0,5,65,0000
13:35:47.787387,MSG_PRESSURE_GET_AIR_REL_PA_VAL,0.0,5,65,0000
13:35:47.788420,MSG_PRESSURE_GET_LC1_ACT_RAW_VAL,57381,5,65,0000
13:35:47.789416,MSG_PRESSURE_GET_LC2_ACT_RAW_VAL,60682,5,65,0000
13:35:47.790414,MSG_PRESSURE_GET_LC1_REL_RAW_VAL,0,5,65,0000
13:35:47.791411,MSG_PRESSURE_GET_LC2_REL_RAW_VAL,0,5,65,0000
13:35:47.792373,MSG_PRESSURE_GET_LC1_REL_PA_VAL,0.0,5,65,0000
13:35:47.793406,MSG_PRESSURE_GET_LC2_REL_PA_VAL,0.0,5,65,0000
13:35:48.019471,MSG_PRESSURE_GET_AIR_ACT_PA_VAL,0.0,5,65,0000
13:35:48.019471,MSG_PRESSURE_GET_AIR_REL_PA_VAL,0.0,5,65,0000
13:35:48.019471,MSG_PRESSURE_GET_LC1_ACT_RAW_VAL,57382,5,65,0000
13:35:48.037688,MSG_PRESSURE_GET_LC2_ACT_RAW_VAL,60683,5,65,0000
13:35:48.037688,MSG_PRESSURE_GET_LC1_REL_RAW_VAL,0,5,65,0000
13:35:48.055946,MSG_PRESSURE_GET_LC1_REL_PA_VAL,0.0,5,65,0000
13:35:48.057980,MSG_PRESSURE_GET_LC2_REL_PA_VAL,0.0,5,65,0000
13:35:48.278473,MSG_PRESSURE_GET_AIR_ACT_PA_VAL,0.0,5,65,0000
13:35:48.279505,MSG_PRESSURE_GET_AIR_REL_PA_VAL,0.0,5,65,0000
